Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
105,"BYSTŘINA, O.",Jak se naši škádlívají. Lidový humor.,,Kniha,1924,1924,Věrovany OL,,"Prostějov: Buček, 1924.",Texty a slovníky
106,"CIGÁNEK, J.",Slovník lidové mluvy ve třech obcích na Vyškovsku.,,Studentská práce,1957,1957,,,"Brno, 1957.",Bara
107,"COUFAL, J.",Slovník nářečí obce Kobylí a okolí.,,Kniha,1999,1999,Kobylí BV,,"2. vydání. Kobylí: Muzeum obce Kobylí, 1999.",Excely
108,"ČAPKOVÁ, L.",Soubor lexikálních jednotek týkajících se zemědělského zařízení a života v zemědělské usedlosti v dialektu městečka Fryštáku.,,Studentská práce,1983,1983,Fryšták ZL,,"Brno, 1983.",Bara
109,"ČEP, T.",Lidové povídky slezské o čertech a čarodějnicích.,Věstník Matice opavské,Článek v časopise,1925–1926,1925,,,"Věstník Matice opavské. 1925–1926, č. 31–32, s. 7–43.",Bara; Texty a slovníky
110,"ČEP, T.",Lidové povídky slezské o hasrmanech a fajermonech.,Věstník Matice opavské,Článek v časopise,1924,1924,,,"Věstník Matice opavské. 1924, č. 30, s. 86–122.",Bara; Texty a slovníky
111,"ČERNÍKOVÁ, M.",Nahořany NA.,,Excerpta,1952,1952,Nahořany NA,,1952.,Bara
112,"ČERNÍKOVÁ, M.",Nedvězí SY.,,Excerpta,1959,1959,Nedvězí SY,,1959.,Bara
113,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA (Vrchoviny).,,Excerpta,1954,1954,Nové Město nad Metují NA (Vrchoviny),,1954.,Bara
114,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1953,1953,Nové Město nad Metují NA,,1953.,Bara
115,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1961,1961,Nové Město nad Metují NA,,1961.,Bara
116,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1963,1963,Nové Město nad Metují NA,,1963.,Bara
117,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1964,1964,Nové Město nad Metují NA,,1964.,Bara
118,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1965,1965,Nové Město nad Metují NA,,1965.,Bara
119,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1966,1966,Nové Město nad Metují NA,,1966.,Bara
120,"ČERNÍKOVÁ, M.",Nové Město nad Metují NA.,,Excerpta,1967,1967,Nové Město nad Metují NA,,1967.,Bara
121,"ČERNÍKOVÁ, M.",Nový Hrádek NA (Dlouhé).,,Excerpta,1956,1956,Nový Hrádek NA (Dlouhé),,1956.,Bara
122,"ČERNÍKOVÁ, M.",Nový Hrádek NA (Rzy).,,Excerpta,1957,1957,Nový Hrádek NA (Rzy),,1957.,Bara
123,"ČERNÍKOVÁ, M.",Nový Hrádek NA.,,Excerpta,1955,1955,Nový Hrádek NA,,1955.,Bara
124,"ČERNÍKOVÁ, M.",Skuhrov nad Bělou RK.,,Excerpta,1958,1958,Skuhrov nad Bělou RK,,1958.,Bara
