číslo,editace (co uvidíme při zadávání),prezentace,definice
364,Machovsko,Machovsko,Machov
365,Malešovsko,Malešovsko,Malešov
366,Malšicko,Malšicko,Malšice
367,Manětínsko,Manětínsko,Manětín
368,Mariánskolázeňsko,Mariánskolázeňsko,Mariánské Lázně
369,Mečínsko,Mečínsko,Měčín
370,Mělnicko,Mělnicko,Mělník
371,Měřínsko,Měřínsko,Měřín
372,Mezibořsko,Mezibořsko,Meziboří
373,Meziměstsko,Meziměstsko,Meziměstí
374,Mikulášovicko,Mikulášovicko,Mikulášovice
375,Mikulovsko,Mikulovsko,Mikulov
376,Miletínsko,Miletínsko,Miletín
377,Milovicko,Milovicko,Milovice
378,Mimoňsko,Mimoňsko,Mimoň
379,Miroslavsko,Miroslavsko,Miroslav
380,Mirošovsko,Mirošovsko,Mirošov
381,Miroticko,Miroticko,Mirotice
382,Mirovicko,Mirovicko,Mirovice
383,Mladoboleslavsko,Mladoboleslavsko,Mladá Boleslav
384,Mladovolžicko,Mladovolžicko,Mladá Vožice
385,Mnichovicko,Mnichovicko,Mnichovice
386,Mnichovohradišťsko,Mnichovohradišťsko,Mnichovo Hradiště
387,Mníšecko,Mníšecko,Mníšek pod Brdy
388,Modřicko,Modřicko,Modřice
389,Mohelensko,Mohelensko,Mohelno
390,Mohelnicko,Mohelnicko,Mohelnice
391,Moravskoberounsko,Moravskoberounsko,Moravský Beroun
392,Moravskobudějovicko,Moravskobudějovicko,Moravské Budějovice
393,Moravskokrumlovsko,Moravskokrumlovsko,Moravský Krumlov
394,Moravskotřebovsko,Moravskotřebovsko,Moravská Třebová
395,Morkovicko,Morkovicko,Morkovice-Slížany
396,Mostecko,Mostecko,Most
397,Mšecko,Mšecko,Mšec
398,Mšensko,Mšensko,Mšeno
399,Mukařovsko,Mukařovsko,Mukařov
400,Mutěnicko,Mutěnicko,Mutěnice
401,Mýtsko,Mýtsko,Mýto
402,Načeradecko,Načeradecko,Načeradec
403,Nalžovskohorsko,Nalžovskohorsko,Nalžovské Hory
404,Napajedelsko,Napajedelsko,Napajedla
405,Nasavrcko,Nasavrcko,Nasavrky
406,Návesko,Návesko,Návsí
407,Nedvědicko,Nedvědicko,Nedvědice
408,Nehvizdsko,Nehvizdsko,Nehvizdy
409,Nechanicko,Nechanicko,Nechanice
410,Nejdecko,Nejdecko,Nejdek
411,Němčicko,Němčicko,Němčice nad Hanou
412,Nepomucko,Nepomucko,Nepomuk
413,Neratovicko,Neratovicko,Neratovice
414,Netolicko,Netolicko,Netolice
